Year,Observation status,Unit multiplier,Unit measure,Value
2009,Undefined,Units,"Rate per 1,000,000 population",1.71858600654
2010,Undefined,Units,"Rate per 1,000,000 population",1.5137161163410977
2011,Undefined,Units,"Rate per 1,000,000 population",0.6794643513892558
2012,Undefined,Units,"Rate per 1,000,000 population",0.6278939041391237
2013,Undefined,Units,"Rate per 1,000,000 population",0.1403932327092396
2014,Undefined,Units,"Rate per 1,000,000 population",0.0
2015,Undefined,Units,"Rate per 1,000,000 population",0.0153586158471365
2016,Undefined,Units,"Rate per 1,000,000 population",0.0
2017,Undefined,Units,"Rate per 1,000,000 population",0.0
2018,Undefined,Units,"Rate per 1,000,000 population",0.0150521821524771
