Year,Units,Series,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2019,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.3445305770887166
2020,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Normal value,N92000002,4.757311623379497
2021,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.1055912688691597
2022,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Normal value,N92000002,1.2606956609791908
2023,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.0
2004,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1352.2063694393214
2005,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1357.7842821920185
2006,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1361.700956363034
2007,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1368.1683248607983
2008,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1372.271613615094
2009,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1375.6423592803974
2010,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1378.304
2011,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1383.406
2012,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1403.02642
2013,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1410.6633639950005
2014,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1424.254544886537
2015,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1431.6393400000002
2016,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1435.0176547551662
2017,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1437.6561487574545
2018,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1445.9364286372102
2019,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1456.10552695637
2020,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1467.1506549563696
2021,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1480.0
2022,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1490.0
2023,Area (000s hectares),1) Woodland area,Scotland,Hectares,Thousands,Normal value,S92000003,1490.0
2005,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.412504546551562
2006,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.288460709288261
2007,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.4749477825908376
2008,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.2999111059462125
2009,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.2456325432851701
2010,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.1934834807641909
2011,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.3701650724368668
2012,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,1.4182691126104647
2013,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.5443193289974061
2014,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.9634602583741998
2015,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.5185024783650405
2016,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.2359752670086715
2017,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.1838649157761317
2018,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.5759569064488821
2019,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.7032880642438866
2020,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.7585389791828422
2021,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.8758026996220408
2022,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.6756756756756757
2023,Growth rate (%),1) Woodland area,Scotland,Percentage (%),Units,Normal value,S92000003,0.0
2004,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,301.2878791958369
2005,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,301.8041438756852
2006,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,302.2763121157883
2007,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,302.7707268907538
2008,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,302.9311792227956
2009,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,303.0879561170254
2010,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,303.26928
2011,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,303.5659999999999
2012,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,304.56394
2013,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,306.40639358
2014,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,305.8319742788516
2015,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,305.99434999999994
2016,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,306.5950179131377
2017,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,307.6674916261585
2018,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,308.54062177624746
2019,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,309.187805472486
2020,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,309.2638054724861
2021,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,310.0
2022,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,310.0
2023,Area (000s hectares),1) Woodland area,Wales,Hectares,Thousands,Normal value,W92000004,310.0
2005,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.1713526216939855
2006,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.1564485609904689
2007,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.1635638504072085
2008,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.0529946648705253
2009,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.0517533040448469
2010,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.0598254992701052
2011,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.0978404406802997
2012,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.328739055098417
2013,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.6049480381689218
2014,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,-0.1874697503655098
2015,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.05309311478344
2016,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.1963003281393329
2017,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.3498014156657429
2018,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.2837901870860797
2019,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.2097563985295564
2020,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.0245805295858861
2021,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.238047425688606
2022,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.0
2023,Growth rate (%),1) Woodland area,Wales,Percentage (%),Units,Normal value,W92000004,0.0
2004,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Missing value,,
2005,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Missing value,,
2006,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Missing value,,
2007,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Missing value,,
2008,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Missing value,,
2009,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Missing value,,
2010,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Missing value,,
2011,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Missing value,,
2012,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Missing value,,
2013,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Normal value,,3126.3099477740006
2014,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Normal value,,3143.4626561735013
2015,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Normal value,,3154.58393003618
2016,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Normal value,,3158.9804843096435
2017,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Normal value,,3163.8758888953803
2018,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Normal value,,3174.5774999808623
2019,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Normal value,,3187.284427884317
2020,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Normal value,,3206.120819363929
2021,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Normal value,,3228.846380775888
2022,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Normal value,,3240.0
2023,Area (000s hectares),1) Woodland area,,Hectares,Thousands,Normal value,,3250.0
2005,Growth rate (%),1) Woodland area,,Percentage (%),Units,Missing value,,
2006,Growth rate (%),1) Woodland area,,Percentage (%),Units,Missing value,,
2007,Growth rate (%),1) Woodland area,,Percentage (%),Units,Missing value,,
2008,Growth rate (%),1) Woodland area,,Percentage (%),Units,Missing value,,
2009,Growth rate (%),1) Woodland area,,Percentage (%),Units,Missing value,,
2010,Growth rate (%),1) Woodland area,,Percentage (%),Units,Missing value,,
2011,Growth rate (%),1) Woodland area,,Percentage (%),Units,Missing value,,
2012,Growth rate (%),1) Woodland area,,Percentage (%),Units,Missing value,,
2013,Growth rate (%),1) Woodland area,,Percentage (%),Units,Normal value,,
2014,Growth rate (%),1) Woodland area,,Percentage (%),Units,Normal value,,0.5486566810726426
2015,Growth rate (%),1) Woodland area,,Percentage (%),Units,Normal value,,0.353790551347486
2016,Growth rate (%),1) Woodland area,,Percentage (%),Units,Normal value,,0.1393703376094153
2017,Growth rate (%),1) Woodland area,,Percentage (%),Units,Normal value,,0.1549678641590796
2018,Growth rate (%),1) Woodland area,,Percentage (%),Units,Normal value,,0.3382437068104542
2019,Growth rate (%),1) Woodland area,,Percentage (%),Units,Normal value,,0.4002714661567202
2020,Growth rate (%),1) Woodland area,,Percentage (%),Units,Normal value,,0.5909855836780689
2021,Growth rate (%),1) Woodland area,,Percentage (%),Units,Normal value,,0.7088179982084155
2022,Growth rate (%),1) Woodland area,,Percentage (%),Units,Normal value,,0.3454366640209068
2023,Growth rate (%),1) Woodland area,,Percentage (%),Units,Normal value,,0.3086419753086419
1990,Tonnes per hectare,2) Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,74.0
2000,Tonnes per hectare,2) Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,89.0
2010,Tonnes per hectare,2) Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,104.0
2015,Tonnes per hectare,2) Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,109.0
2016,Tonnes per hectare,2) Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,110.0
2017,Tonnes per hectare,2) Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,112.0
2018,Tonnes per hectare,2) Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,113.0
2019,Tonnes per hectare,2) Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,114.0
2020,Tonnes per hectare,2) Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,115.0
2000,Percentage (%),3) Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2010,Percentage (%),3) Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2015,Percentage (%),3) Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2016,Percentage (%),3) Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2017,Percentage (%),3) Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2018,Percentage (%),3) Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2019,Percentage (%),3) Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2020,Percentage (%),3) Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2000,Percentage (%),4) Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,33.76
2010,Percentage (%),4) Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,52.87
2015,Percentage (%),4) Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,57.34
2016,Percentage (%),4) Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,57.27
2017,Percentage (%),4) Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,59.3
2018,Percentage (%),4) Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,59.94
2019,Percentage (%),4) Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,60.51
2020,Percentage (%),4) Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,61.05
2004,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,300.0
2005,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,340.0
2006,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,350.0
2007,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,360.0
2008,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,350.0
2009,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,350.0
2010,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,360.0
2011,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,340.0
2012,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,350.0
2013,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,350.0
2014,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,350.0
2015,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,360.0
2016,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,340.0
2017,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,340.0
2018,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,330.0
2019,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,320.0
2020,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,330.0
2021,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,320.0
2022,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,320.0
2023,Area (000s hectares),5) Woodland area under certification schemes,England,Hectares,Thousands,Normal value,E92000001,320.0
2004,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,23.589624538816505
2005,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,26.63125646420812
2006,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,27.34201277926697
2007,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,28.058791222036643
2008,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,27.228573347534745
2009,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,27.179442225090323
2010,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,27.910157203960445
2011,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,26.307950030370208
2012,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,26.971120372325984
2013,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,26.95990435568373
2014,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,26.883513965019542
2015,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,27.585398569625035
2016,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,26.04803479585847
2017,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,26.03021766715966
2018,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,25.239325217400204
2019,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,24.446401769352345
2020,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,25.165379266972515
2021,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,24.24242424242424
2022,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,24.24242424242424
2023,Percentage (%),5) Woodland area under certification schemes,England,Percentage (%),Units,Normal value,E92000001,24.06015037593985
2004,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,60.0
2005,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,60.0
2006,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,60.0
2007,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,60.0
2008,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,60.0
2009,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,70.0
2010,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,60.0
2011,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,60.0
2012,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,60.0
2013,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,60.0
2014,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,60.0
2015,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,70.0
2016,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,70.0
2017,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,70.0
2018,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,70.0
2019,Area (000s hectares),5) Woodland area under certification schemes,Northern Ireland,Hectares,Thousands,Normal value,N92000002,70.0
