Year,Value,Observation status,Unit multiplier,Unit measure
2009,1.71858600654,Undefined,Units,"Rate per 1,000,000 population"
2010,1.5137161163410977,Undefined,Units,"Rate per 1,000,000 population"
2011,0.6794643513892558,Undefined,Units,"Rate per 1,000,000 population"
2012,0.6278939041391237,Undefined,Units,"Rate per 1,000,000 population"
2013,0.1403932327092396,Undefined,Units,"Rate per 1,000,000 population"
2014,0.0,Undefined,Units,"Rate per 1,000,000 population"
2015,0.0153586158471365,Undefined,Units,"Rate per 1,000,000 population"
2016,0.0,Undefined,Units,"Rate per 1,000,000 population"
2017,0.0,Undefined,Units,"Rate per 1,000,000 population"
2018,0.0150521821524771,Undefined,Units,"Rate per 1,000,000 population"
