Year,Value,Units,Series,GeoCode,Observation status,Unit multiplier
2015/16,0.0223186614163952,Percentage (%),Percentage (%),,Normal value,Units
2016/17,0.0239030459560283,Percentage (%),Percentage (%),,Normal value,Units
2017/18,0.0222649657441152,Percentage (%),Percentage (%),,Normal value,Units
2018/19,0.0229430423343109,Percentage (%),Percentage (%),,Normal value,Units
2019/20,0.0234371184221021,Percentage (%),Percentage (%),,Normal value,Units
2020/21,0.0188852156940168,Percentage (%),Percentage (%),,Normal value,Units
2015/16,6195.0,Individuals,Individuals,,Normal value,Units
2016/17,6685.0,Individuals,Individuals,,Normal value,Units
2017/18,6265.0,Individuals,Individuals,,Normal value,Units
2018/19,6495.0,Individuals,Individuals,,Normal value,Units
2019/20,6670.0,Individuals,Individuals,,Normal value,Units
2020/21,5395.0,Individuals,Individuals,,Normal value,Units
