Year,Value,Units,Observation status,Unit multiplier,Unit measure
2001 Q4,12.9347813419,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2002 Q1,13.270712424813963,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2002 Q2,13.410667192048292,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2002 Q3,13.337405860282708,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2002 Q4,12.705354680219685,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2003 Q1,13.50387653485594,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2003 Q2,13.397976146544355,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2003 Q3,13.118133107031548,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2003 Q4,12.597609194809698,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2004 Q1,12.360430672632896,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2004 Q2,12.935088179179829,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2004 Q3,13.440885503966712,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2004 Q4,13.4447192110986,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2005 Q1,13.431194822487246,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2005 Q2,13.686430629829887,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2005 Q3,13.467630940819708,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2005 Q4,14.398049814610848,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2006 Q1,14.073319896553166,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2006 Q2,14.559366374380057,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2006 Q3,14.276769690946796,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2006 Q4,13.829892828862944,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2007 Q1,14.06808710546859,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2007 Q2,14.057973713995228,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2007 Q3,13.716586894757166,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2007 Q4,13.42741436623574,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2008 Q1,13.399789682828386,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2008 Q2,13.81804437847701,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2008 Q3,14.290344059330588,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2008 Q4,14.160311909520493,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2009 Q1,15.13532596346034,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2009 Q2,15.553113862653936,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2009 Q3,15.443627556976786,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2009 Q4,14.880719809208992,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2010 Q1,15.46827364166007,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2010 Q2,14.696983166661337,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2010 Q3,15.29098297588718,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2010 Q4,15.862907459560734,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2011 Q1,15.294552255409457,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2011 Q2,15.80257215399447,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2011 Q3,16.902032499834196,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2011 Q4,16.458923774947955,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2012 Q1,16.212337633731785,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2012 Q2,16.202181952755694,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2012 Q3,15.021447019630422,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2012 Q4,14.771644019153475,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2013 Q1,15.017134761839262,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2013 Q2,14.886032730114504,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2013 Q3,14.943347075407624,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2013 Q4,14.215107902135712,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2014 Q1,13.415610003033866,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2014 Q2,13.214877046564595,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2014 Q3,13.28393418377948,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2014 Q4,13.348458555476764,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2015 Q1,12.851069645215372,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2015 Q2,12.655730906098226,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2015 Q3,11.804828622080626,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2015 Q4,11.867336256061051,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2016 Q1,12.002207778480264,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2016 Q2,11.734087247985656,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2016 Q3,11.9945457252335,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2016 Q4,11.508406433334557,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2017 Q1,11.16537024674702,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
2017 Q2,11.154443308828238,1. Seasonally adjusted percentage (%),Undefined,Units,Percentage (%)
