Year,Value,Units,Series,Observation status,Unit multiplier
2000,3.3,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2001,1.7,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2002,1.7,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2003,2.6,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2004,1.8,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2005,1.8,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2006,1.9,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2007,1.4,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2008,-1.1,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2009,-4.9,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2010,1.3,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2011,0.6,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2012,0.8,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2013,1.3,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2014,2.2,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2015,1.8,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2016,1.4,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2017,1.5,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2018,1.0,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2019,1.1,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2020,-9.7,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
2021,6.7,Percentage (%),Annual growth rate of real GDP per capita,Normal value,Units
