Year,Import type,Unit measure,Unit multiplier,Observation status,Value
2013,,Number of times seized,Units,Undefined,569.0
2014,,Number of times seized,Units,Undefined,512.0
2015,,Number of times seized,Units,Undefined,858.0
2016,,Number of times seized,Units,Undefined,689.0
2017,,Number of times seized,Units,Undefined,1076.0
2018,,Number of times seized,Units,Undefined,1116.0
2019,,Number of times seized,Units,Undefined,792.0
2020,,Number of times seized,Units,Undefined,488.0
2013,Caviar and caviar extract,Number of times seized,Units,Undefined,24.0
2014,Caviar and caviar extract,Number of times seized,Units,Undefined,22.0
2015,Caviar and caviar extract,Number of times seized,Units,Undefined,31.0
2016,Caviar and caviar extract,Number of times seized,Units,Undefined,20.0
2017,Caviar and caviar extract,Number of times seized,Units,Undefined,28.0
2018,Caviar and caviar extract,Number of times seized,Units,Undefined,41.0
2019,Caviar and caviar extract,Number of times seized,Units,Undefined,27.0
2020,Caviar and caviar extract,Number of times seized,Units,Undefined,4.0
2013,Live coral and coral derivatives,Number of times seized,Units,Undefined,18.0
2014,Live coral and coral derivatives,Number of times seized,Units,Undefined,14.0
2015,Live coral and coral derivatives,Number of times seized,Units,Undefined,22.0
2016,Live coral and coral derivatives,Number of times seized,Units,Undefined,16.0
2017,Live coral and coral derivatives,Number of times seized,Units,Undefined,21.0
2018,Live coral and coral derivatives,Number of times seized,Units,Undefined,7.0
2019,Live coral and coral derivatives,Number of times seized,Units,Undefined,11.0
2020,Live coral and coral derivatives,Number of times seized,Units,Undefined,8.0
2013,Ivory and items containing Ivory,Number of times seized,Units,Undefined,43.0
2014,Ivory and items containing Ivory,Number of times seized,Units,Undefined,40.0
2015,Ivory and items containing Ivory,Number of times seized,Units,Undefined,183.0
2016,Ivory and items containing Ivory,Number of times seized,Units,Undefined,161.0
2017,Ivory and items containing Ivory,Number of times seized,Units,Undefined,176.0
2018,Ivory and items containing Ivory,Number of times seized,Units,Undefined,108.0
2019,Ivory and items containing Ivory,Number of times seized,Units,Undefined,54.0
2020,Ivory and items containing Ivory,Number of times seized,Units,Undefined,45.0
2013,Live animals and birds,Number of times seized,Units,Undefined,14.0
2014,Live animals and birds,Number of times seized,Units,Undefined,23.0
2015,Live animals and birds,Number of times seized,Units,Undefined,13.0
2016,Live animals and birds,Number of times seized,Units,Undefined,12.0
2017,Live animals and birds,Number of times seized,Units,Undefined,13.0
2018,Live animals and birds,Number of times seized,Units,Undefined,12.0
2019,Live animals and birds,Number of times seized,Units,Undefined,10.0
2020,Live animals and birds,Number of times seized,Units,Undefined,6.0
2013,Live plants,Number of times seized,Units,Undefined,6.0
2014,Live plants,Number of times seized,Units,Undefined,6.0
2015,Live plants,Number of times seized,Units,Undefined,45.0
2016,Live plants,Number of times seized,Units,Undefined,36.0
2017,Live plants,Number of times seized,Units,Undefined,37.0
2018,Live plants,Number of times seized,Units,Undefined,82.0
2019,Live plants,Number of times seized,Units,Undefined,67.0
2020,Live plants,Number of times seized,Units,Undefined,17.0
2013,Parts or derivatives of animals or birds,Number of times seized,Units,Undefined,128.0
2014,Parts or derivatives of animals or birds,Number of times seized,Units,Undefined,140.0
2015,Parts or derivatives of animals or birds,Number of times seized,Units,Undefined,180.0
2016,Parts or derivatives of animals or birds,Number of times seized,Units,Undefined,220.0
2017,Parts or derivatives of animals or birds,Number of times seized,Units,Undefined,168.0
2018,Parts or derivatives of animals or birds,Number of times seized,Units,Undefined,167.0
2019,Parts or derivatives of animals or birds,Number of times seized,Units,Undefined,189.0
2020,Parts or derivatives of animals or birds,Number of times seized,Units,Undefined,119.0
2013,Parts or derivatives of plants,Number of times seized,Units,Undefined,15.0
2014,Parts or derivatives of plants,Number of times seized,Units,Undefined,35.0
2015,Parts or derivatives of plants,Number of times seized,Units,Undefined,27.0
2016,Parts or derivatives of plants,Number of times seized,Units,Undefined,69.0
2017,Parts or derivatives of plants,Number of times seized,Units,Undefined,171.0
2018,Parts or derivatives of plants,Number of times seized,Units,Undefined,189.0
2019,Parts or derivatives of plants,Number of times seized,Units,Undefined,247.0
2020,Parts or derivatives of plants,Number of times seized,Units,Undefined,192.0
2013,Timber or wood products,Number of times seized,Units,Undefined,142.0
2014,Timber or wood products,Number of times seized,Units,Undefined,33.0
2015,Timber or wood products,Number of times seized,Units,Undefined,26.0
2016,Timber or wood products,Number of times seized,Units,Undefined,18.0
2017,Timber or wood products,Number of times seized,Units,Undefined,401.0
2018,Timber or wood products,Number of times seized,Units,Undefined,433.0
2019,Timber or wood products,Number of times seized,Units,Undefined,117.0
2020,Timber or wood products,Number of times seized,Units,Undefined,80.0
2013,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Undefined,187.0
2014,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Undefined,210.0
2015,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Undefined,334.0
2016,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Undefined,141.0
2017,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Undefined,69.0
2018,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Undefined,82.0
2019,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Undefined,79.0
2020,Preparations of Oriental medicine which include parts and derivatives of endangered species,Number of times seized,Units,Undefined,22.0
2017,Butterflies,Number of times seized,Units,Undefined,1.0
2018,Butterflies,Number of times seized,Units,Undefined,8.0
2019,Butterflies,Number of times seized,Units,Undefined,4.0
2020,Butterflies,Number of times seized,Units,Undefined,1.0
