Year,Series,Country income classification,Observation status,Unit multiplier,Units,Value
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,GBP,6385.606943
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,GBP,528.632
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,GBP,250.0
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,GBP,249.18
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,GBP,185.21
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,GBP,1013.65
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,GBP,167.31
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,GBP,158.1
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,GBP,226.71
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,GBP,557.52
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,GBP,10843.19
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,GBP,3593.512833
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,GBP,2484.399002
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,GBP,5876.912236
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,GBP,6441.030901
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,GBP,18607.95
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,GBP,24233.49
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,GBP,23967.82
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,GBP,13353.4
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,GBP,39143.88
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,GBP,37244.15
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,GBP,66725.72
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,GBP,36420.67
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,GBP,52477.8570764
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,GBP,59198.0051238
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,GBP,51474.3760036
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,GBP,23915.0130766
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,GBP,73182.75
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,GBP,101616.29
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,GBP,109680.23
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,GBP,107735.26
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,GBP,139152.39
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,GBP,180847.01
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,GBP,185161.64
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,GBP,170546.89
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,GBP,177217.6682173
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,GBP,208142.3739088
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,GBP,177578.456861
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,GBP,111093.7997945
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,Constant USD,62346.2853110586
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,Constant USD,64474.98280827019
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,Constant USD,98346.46825164232
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,Constant USD,95702.4806887684
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,Constant USD,112510.41782072876
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,Constant USD,166274.89482692242
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,Constant USD,126850.3887261258
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,Constant USD,136954.5342099017
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,Constant USD,136870.41192756608
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,Constant USD,145498.0508172558
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,Constant USD,124521.25785413476
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LDCs,Normal value,Thousands,Constant USD,79600.94574054898
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,Constant USD,13825.039779357625
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,Constant USD,24504.10678183708
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,Constant USD,21516.49249337995
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,Constant USD,12823.16468575649
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,Constant USD,11539.650972015725
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,Constant USD,13744.950088523006
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,Constant USD,28542.23471254412
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,Constant USD,25672.739770007884
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,Constant USD,18331.82886039148
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,Constant USD,37014.92458833056
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,Constant USD,28233.38306138336
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",LMICs,Normal value,Thousands,Constant USD,17369.760957963706
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,Constant USD,6642.814882818979
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,Constant USD,26840.203849397323
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,Constant USD,4636.473858563042
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,Constant USD,27705.29677909736
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,Constant USD,17804.452228971106
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,Constant USD,20203.881791094784
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,Constant USD,8142.430396656388
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,Constant USD,4803.884974714662
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,Constant USD,6199.0132815691095
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,Constant USD,8320.267173149618
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,Constant USD,674.6197039305767
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Other LICs,Normal value,Thousands,Constant USD,301.19707561206394
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,Constant USD,379.8507481098375
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,Constant USD,277.8699611986676
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,Constant USD,1489.972838869474
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,Constant USD,241.9244047944032
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,Constant USD,224.60798882581688
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,Constant USD,316.5988281986909
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,Constant USD,773.4586083139159
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,Constant USD,14726.178197154888
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,Constant USD,4787.579033467799
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,Constant USD,3237.102384450078
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,Constant USD,7499.887998979071
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",UMICs,Normal value,Thousands,Constant USD,7760.078685232551
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,Constant USD,28366.015443817527
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,Constant USD,36357.426305319896
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,Constant USD,35230.50442155829
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,Constant USD,19308.54908243132
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,Constant USD,55610.55130701528
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,Constant USD,52011.178365560736
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,Constant USD,92569.92131213952
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,Constant USD,49463.05252234564
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,Constant USD,69915.40031611527
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,Constant USD,77133.34427629145
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,Constant USD,65689.60694691169
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Unspecified,Normal value,Thousands,Constant USD,28812.52800758476
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,Constant USD,111560.00616516256
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,Constant USD,152454.58970602314
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,Constant USD,161219.9118640131
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,Constant USD,155781.415640848
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,Constant USD,197689.68031755672
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,Constant USD,252551.5039002997
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,Constant USD,256878.43375577973
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,Constant USD,231620.38967412483
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,Constant USD,236104.2334191097
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,Constant USD,271203.6892394775
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,Constant USD,226618.7555653395
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",,Normal value,Thousands,Constant USD,133844.51046694204
